"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"983069";"25";"4";"1806";"168";"Børre";"";"";"Andreasen";"Laurvig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 37 1/2 læster";"";"";"";" "
"983082";"25";"4";"1806";"169";"Jørgen H.";"";"";"Lindberg";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 61 1/2 læster";"";"";"";" "
"983083";"25";"4";"1806";"170";"Hans H.";"";"";"Asmussen";"Flensborg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"983085";"26";"4";"1806";"171";"Claus";"";"";"Gabrielsen";"Stavanger";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 9 læster";"";"";"";" "
"983086";"26";"4";"1806";"172";"Herman";"";"";"Christensen";"Stocke Sogn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 30 læster";"";"";"";" "
"983103";"26";"4";"1806";"173";"Amund";"";"";"Nielsen";"Thiomøe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"983130";"26";"4";"1806";"174";"Johannes";"";"";"Hansen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 47 læster";"";"";"";" "
"983145";"26";"4";"1806";"175";"Jens M.";"";"";"Exstein";"Friderichshald";"";"";"";"";"";"";"";"Daler";"1";"Skilling";"6";"";"";"";"";"";"";"";"";"Daler";"1 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 31 læster";"";"";"";" "
"983170";"26";"4";"1806";"176";"Anders";"";"";"Christensen";"Arendahl";"";"";"";"";"";"";"";"Daler";"1";"Skilling";"21";"";"";"";"";"";"";"";"";"Daler";"2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 30 læster";"";"";"";" "
"983182";"26";"4";"1806";"177";"Anders";"";"";"Tørgersen";"Thiømoe";"Føring";"Skilling";"4";"";"";"";"";"Daler";"2";"Skilling";"16";"";"";"Daler";"2";"Skilling";"12";"";"";"Daler";"2 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 30 læster";"";"";"";" "
"983203";"27";"4";"1806";"178";"Hartvig";"";"";"Thode";"Fehmern";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 14 læster";"";"";"";" "
"983214";"27";"4";"1806";"179";"Mathias J.";"";"";"Fischer";"Odense";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 19 1/2 læster";"";"";"";" "
"983225";"27";"4";"1806";"180";"Boy";"";"";"Dircks";"Tronhiem";"Føring";"Daler";"12 1/2";"Skilling";"18";"";"";"Daler";"322";"";"";"";"";"Daler";"309";"Skilling";"6";"";"";"Rosenobel";"1";"Daler";"313 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"983239";"27";"4";"1806";"181";"Joh. M.";"";"";"Møller";"Eckernførde";"Føring";"Daler";"19 1/2";"";"";"";"";"Daler";"490";"";"";"";"";"Daler";"470 1/2";"";"";"";"";"Rosenobel";"1";"Daler";"475";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"";"";"";"";" "
"983252";"28";"4";"1806";"182";"Zagarias";"";"";"Salvesen";"Listeramt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 13 1/2 læster";"";"";"";" "
"983268";"28";"4";"1806";"183";"Jens";"";"";"Grøn";"Laurvig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"";"";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 21 læster";"";"";"";" "
"983278";"28";"4";"1806";"184";"Ole";"";"";"Walløe";"Tønsberg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 28 læster";"";"";"";" "
"983288";"28";"4";"1806";"185";"Niels";"";"";"Olsen";"Listeramt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"14-06-11";"287";"Skibet drægtig 35 læster";"";"";"";" "
